data,ids
VOCdevkit/VOC2007/JPEGImages/000012.jpg,000012
VOCdevkit/VOC2007/JPEGImages/000017.jpg,000017
VOCdevkit/VOC2007/JPEGImages/000023.jpg,000023
VOCdevkit/VOC2007/JPEGImages/000026.jpg,000026
VOCdevkit/VOC2007/JPEGImages/000032.jpg,000032
VOCdevkit/VOC2007/JPEGImages/000033.jpg,000033
VOCdevkit/VOC2007/JPEGImages/000034.jpg,000034
VOCdevkit/VOC2007/JPEGImages/000035.jpg,000035
VOCdevkit/VOC2007/JPEGImages/000036.jpg,000036
VOCdevkit/VOC2007/JPEGImages/000042.jpg,000042
VOCdevkit/VOC2007/JPEGImages/000044.jpg,000044
VOCdevkit/VOC2007/JPEGImages/000047.jpg,000047
VOCdevkit/VOC2007/JPEGImages/000048.jpg,000048
VOCdevkit/VOC2007/JPEGImages/000061.jpg,000061
VOCdevkit/VOC2007/JPEGImages/000064.jpg,000064
VOCdevkit/VOC2007/JPEGImages/000066.jpg,000066
VOCdevkit/VOC2007/JPEGImages/000073.jpg,000073
VOCdevkit/VOC2007/JPEGImages/000077.jpg,000077
VOCdevkit/VOC2007/JPEGImages/000078.jpg,000078
VOCdevkit/VOC2007/JPEGImages/000083.jpg,000083
VOCdevkit/VOC2007/JPEGImages/000089.jpg,000089
VOCdevkit/VOC2007/JPEGImages/000091.jpg,000091
VOCdevkit/VOC2007/JPEGImages/000104.jpg,000104
VOCdevkit/VOC2007/JPEGImages/000112.jpg,000112
VOCdevkit/VOC2007/JPEGImages/000122.jpg,000122
VOCdevkit/VOC2007/JPEGImages/000129.jpg,000129
VOCdevkit/VOC2007/JPEGImages/000133.jpg,000133
VOCdevkit/VOC2007/JPEGImages/000134.jpg,000134
VOCdevkit/VOC2007/JPEGImages/000138.jpg,000138
VOCdevkit/VOC2007/JPEGImages/000140.jpg,000140
VOCdevkit/VOC2007/JPEGImages/000141.jpg,000141
VOCdevkit/VOC2007/JPEGImages/000147.jpg,000147
VOCdevkit/VOC2007/JPEGImages/000153.jpg,000153
VOCdevkit/VOC2007/JPEGImages/000154.jpg,000154
VOCdevkit/VOC2007/JPEGImages/000159.jpg,000159
VOCdevkit/VOC2007/JPEGImages/000161.jpg,000161
VOCdevkit/VOC2007/JPEGImages/000162.jpg,000162
VOCdevkit/VOC2007/JPEGImages/000163.jpg,000163
VOCdevkit/VOC2007/JPEGImages/000164.jpg,000164
VOCdevkit/VOC2007/JPEGImages/000171.jpg,000171
VOCdevkit/VOC2007/JPEGImages/000173.jpg,000173
VOCdevkit/VOC2007/JPEGImages/000174.jpg,000174
VOCdevkit/VOC2007/JPEGImages/000187.jpg,000187
VOCdevkit/VOC2007/JPEGImages/000189.jpg,000189
VOCdevkit/VOC2007/JPEGImages/000192.jpg,000192
VOCdevkit/VOC2007/JPEGImages/000193.jpg,000193
VOCdevkit/VOC2007/JPEGImages/000194.jpg,000194
VOCdevkit/VOC2007/JPEGImages/000198.jpg,000198
VOCdevkit/VOC2007/JPEGImages/000200.jpg,000200
VOCdevkit/VOC2007/JPEGImages/000207.jpg,000207
VOCdevkit/VOC2007/JPEGImages/000209.jpg,000209
VOCdevkit/VOC2007/JPEGImages/000219.jpg,000219
VOCdevkit/VOC2007/JPEGImages/000220.jpg,000220
VOCdevkit/VOC2007/JPEGImages/000222.jpg,000222
VOCdevkit/VOC2007/JPEGImages/000225.jpg,000225
VOCdevkit/VOC2007/JPEGImages/000228.jpg,000228
VOCdevkit/VOC2007/JPEGImages/000235.jpg,000235
VOCdevkit/VOC2007/JPEGImages/000242.jpg,000242
VOCdevkit/VOC2007/JPEGImages/000250.jpg,000250
VOCdevkit/VOC2007/JPEGImages/000256.jpg,000256
VOCdevkit/VOC2007/JPEGImages/000259.jpg,000259
VOCdevkit/VOC2007/JPEGImages/000262.jpg,000262
VOCdevkit/VOC2007/JPEGImages/000263.jpg,000263
VOCdevkit/VOC2007/JPEGImages/000276.jpg,000276
VOCdevkit/VOC2007/JPEGImages/000278.jpg,000278
VOCdevkit/VOC2007/JPEGImages/000282.jpg,000282
VOCdevkit/VOC2007/JPEGImages/000288.jpg,000288
VOCdevkit/VOC2007/JPEGImages/000294.jpg,000294
VOCdevkit/VOC2007/JPEGImages/000296.jpg,000296
VOCdevkit/VOC2007/JPEGImages/000306.jpg,000306
VOCdevkit/VOC2007/JPEGImages/000307.jpg,000307
VOCdevkit/VOC2007/JPEGImages/000311.jpg,000311
VOCdevkit/VOC2007/JPEGImages/000312.jpg,000312
VOCdevkit/VOC2007/JPEGImages/000317.jpg,000317
VOCdevkit/VOC2007/JPEGImages/000320.jpg,000320
VOCdevkit/VOC2007/JPEGImages/000325.jpg,000325
VOCdevkit/VOC2007/JPEGImages/000331.jpg,000331
VOCdevkit/VOC2007/JPEGImages/000334.jpg,000334
VOCdevkit/VOC2007/JPEGImages/000337.jpg,000337
VOCdevkit/VOC2007/JPEGImages/000344.jpg,000344
VOCdevkit/VOC2007/JPEGImages/000347.jpg,000347
VOCdevkit/VOC2007/JPEGImages/000349.jpg,000349
VOCdevkit/VOC2007/JPEGImages/000355.jpg,000355
VOCdevkit/VOC2007/JPEGImages/000359.jpg,000359
VOCdevkit/VOC2007/JPEGImages/000367.jpg,000367
VOCdevkit/VOC2007/JPEGImages/000370.jpg,000370
VOCdevkit/VOC2007/JPEGImages/000372.jpg,000372
VOCdevkit/VOC2007/JPEGImages/000379.jpg,000379
VOCdevkit/VOC2007/JPEGImages/000382.jpg,000382
VOCdevkit/VOC2007/JPEGImages/000387.jpg,000387
VOCdevkit/VOC2007/JPEGImages/000391.jpg,000391
